Model,Task1_Original,Task2_Balanced,Task3_Tuned,Improvement
Naive Bayes,0.8446265364008825,0.8304314912944739,0.842609657206045,-0.24
SVM,0.8705557473248188,0.8568290003661663,0.835929011227816,-3.98
Logistic Regression,0.8650082918739636,0.8577777777777778,0.8585968738640495,-0.74
Random Forest,0.849983938323161,0.8512203276496155,0.8467394902350215,-0.38
Deep Neural Network,0.8545001778726432,0.8433212996389892,0.8511103021477976,-0.4
