Model,Accuracy,Precision,Recall,F1-Score
Naive Bayes,0.7535,0.7423822714681441,0.97953216374269,0.8446265364008825
SVM,0.8125,0.8247220405493787,0.9217836257309941,0.8705557473248188
Logistic Regression,0.7965,0.7917425622343656,0.9532163742690059,0.8650082918739636
Random Forest,0.7665,0.7581661891117478,0.9671052631578947,0.849983938323161
Deep Neural Network,0.7955,0.8322938322938322,0.8779239766081871,0.8545001778726432
